"","Bacus1.cases","Bacus1","Bacus1"
"1",1563.4775406331,2342.80211825157,2373.50111528191
"2",1561.35196272466,2319.11321656771,2363.39679987057
"3",1549.43875371489,2306.71213175075,2347.48636364837
"4",1539.83738605708,2288.57461772587,2335.66307495737
"5",1529.31281472954,2278.22791517888,2323.3114101403
"6",1518.78038081794,2260.71170035652,2313.91980464442
"7",1516.5043145549,2239.49144883356,2285.19547419413
"8",1512.97079725339,2206.77207913733,2294.37090223722
"9",1522.4596422431,2198.01017982565,2302.39788722579
"10",1536.13846842515,2181.79800456258,2316.20705531017
"11",1539.56475049676,2190.21932322143,2324.20474651668
"12",1535.7672073841,2185.08293973641,2316.75940344049
"13",1544.73939081439,2185.51953446818,2318.18919483253
"14",1549.43153757572,2180.5492572971,2303.80903881075
"15",1552.1152323292,2181.66005055516,2242.09157720398
"16",1535.036383939,2194.04297503798,2221.4234414067
"17",1539.98144225455,2195.57230357271,2232.54480362887
"18",1553.62476848832,2208.69132528033,2250.58214529871
"19",1565.2456558242,2200.11200375442,2248.62486411017
"20",1571.05544461501,2211.01256414291,2267.96687982837
"21",1576.76853613706,2244.81591370743,2318.94913349931
"22",1564.72918926019,2277.44473832866,2304.97558500672
"23",1536.44909088918,2276.1089584564,2288.27752571222
"24",1502.83151659062,2273.67516488891,2269.29783388563
"25",1506.62894505865,2238.38566006442,2260.54258025327
"26",1534.80781831936,2217.98198681344,2279.2246823989
"27",1528.40284222237,2220.64412688466,2291.80474357955
"28",1524.67038354082,2229.78630749461,2300.0322797071
"29",1538.77375130386,2262.20773999164,2311.21567561942
"30",1567.1729282134,2269.24277817139,2331.64867246389
"31",1591.06214640523,2260.59337753907,2335.8124536912
"32",1584.58104058106,2228.46857268644,2300.61384590772
"33",1597.27043540961,2237.02884832571,2313.40920765743
"34",1600.64497188996,2219.95226405926,2331.5181642893
"35",1595.8675521807,2224.38276449312,2325.28771490508
"36",1603.69991235658,2242.6682540417,2307.93336289694
"37",1616.12075286525,2281.11468078783,2266.20577952308
"38",1618.21785431662,2302.1633883998,2237.96035356039
"39",1601.17869908767,2323.34177507538,2279.20347218411
"40",1578.89598742265,2331.58827571175,2330.01547330871
"41",1590.35894345268,2318.79745339572,2342.42565395537
"42",1585.99223451671,2303.41978474109,2321.62152366523
"43",1559.97923156092,2279.65398577913,2286.54515101227
"44",1539.56056325304,2286.58997367463,2238.28650395087
"45",1520.96100184622,2288.72036820949,2202.31697351245
"46",1531.50172657371,2290.34756267042,2224.48279439495
"47",1538.98594409996,2282.51581208421,2253.85361044613
"48",1545.92561445366,2297.68951056051,2264.79613465428
"49",1539.04977653691,2310.11663446756,2270.95277066868
"50",1519.55636478328,2312.96037199852,2297.5601326339
"51",1481.9402791487,2261.69672308937,2337.48310369078
"52",1465.29343735912,2206.40574371764,2360.3739180459
"53",1466.44836771496,2175.47754295933,2327.18576366361
"54",1461.86976138542,2164.57307379545,2298.96222144747
"55",1445.7942280774,2177.67236115222,2298.87851976018
"56",1439.12810544012,2184.69906287974,2325.11800973459
"57",1431.77609853244,2204.68284261451,2365.17845415663
"58",1448.38092302717,2204.66693902352,2374.84396070948
"59",1457.14083689079,2218.27547037067,2335.34997806111
"60",1464.79968928382,2225.46410900716,2284.92043682207
"61",1462.30392503237,2242.49493438593,2247.14810132224
"62",1469.81418316308,2275.66237685986,2221.21790070742
"63",1465.77406145517,2286.99929679576,2235.15420203067
"64",1443.51190724949,2289.05432236439,2229.13250850677
"65",1445.21069135027,2289.65482841254,2230.27924955774
"66",1469.62493455792,2291.62968829924,2216.38083696361
"67",1499.38060002269,2287.81518357553,2229.07527649313
"68",1515.6692892495,2298.10983472932,2246.13872569442
"69",1526.76961119088,2271.71852228271,2238.64765288855
"70",1545.74626343767,2274.27868720552,2211.6178236235
"71",1551.97845242043,2265.21801652933,2186.32514638282
"72",1544.71529736389,2271.12876138801,2197.39992339069
"73",1558.85285606834,2277.29410781013,2201.42042342015
"74",1547.36574864298,2301.15350576513,2207.15142395565
"75",1536.06988573045,2302.22514894977,2199.60547627554
"76",1528.71673314831,2297.10124452804,2214.30981950146
"77",1539.59074351548,2303.81311512665,2214.44247050808
"78",1565.41034296932,2314.99221562396,2211.41186586829
"79",1571.72111958823,2317.06478907004,2195.28283798624
"80",1564.60780414767,2322.49948470133,2198.11021982654
"81",1544.27151124113,2323.1168520395,2217.04892106624
"82",1534.47160751353,2332.07630386359,2225.13128808851
"83",1535.06732501688,2339.01157385086,2227.57283118212
"84",1520.45295947131,2314.18621583613,2244.9470515983
"85",1512.25375916438,2277.37637112217,2259.48168407544
"86",1511.13142499042,2248.3898147406,2258.9332823063
"87",1500.58207009863,2249.85295752667,2267.57512691594
"88",1501.52471698037,2238.04082827126,2275.14127751199
"89",1508.24069007431,2242.90790442737,2273.29715337298
"90",1505.91491642004,2241.06624711734,2264.51053518342
"91",1504.35376694265,2237.60940549939,2270.3563543761
"92",1524.24436318761,2218.58972518244,2272.86408311552
"93",1538.93926294751,2226.24263537672,2265.83164450208
"94",1529.78834611805,2241.36564975098,2271.30222416
"95",1523.85032453784,2262.80338870557,2253.90346814319
"96",1516.03865025765,2252.23119779576,2255.98676553668
"97",1499.86936751446,2262.45354392258,2279.27370595264
"98",1505.04677104269,2292.81949091637,2298.4088780771
"99",1518.28569807943,2324.56740586882,2324.91235888147
"100",1510.57851005009,2345.85092773764,2328.06645358811
"101",1503.17501818594,2357.8425851218,2328.98098630619
"102",1511.97035710498,2356.79409101044,2319.24663125379
"103",1520.93907053502,2362.89995071718,2315.73882607145
"104",1526.38482374489,2353.77654038264,2303.61242247648
"105",1524.48872964417,2335.0347378195,2290.97830042526
"106",1492.90546735198,2347.88713243044,2297.22164329545
"107",1484.68518305758,2356.25933424304,2320.98506447609
"108",1499.31418514589,2354.30261838965,2331.22752164841
"109",1512.49843940759,2388.51940867737,2296.03995246572
