"","S3.cases","S3","S3"
"1",0.00862170668829955,0.467406684485619,0.00862170668829955
"2",0.0285655007845504,0.566154149517198,0.0285655007845504
"3",0.0795595087182278,0.666976810858474,0.0795595087182278
"4",0.186270463697701,0.764228165171491,0.186270463697701
"5",0.366604297073674,0.851670507229441,0.366604297073674
"6",0.606530659712633,0.923116346386636,0.606530659712633
"7",0.843547649064235,0.973144963058051,0.843547649064235
"8",0.986207116743916,0.997780245085606,0.986207116743916
"9",0.945959468906765,0.945959468906765,0.945959468906765
"10",0.673638455344726,0.673638455344726,0.673638455344726
"11",0.352321954995497,0.352321954995497,0.352321954995497
"12",0.135335283236613,0.135335283236613,0.135335283236613
"13",0.0381804338005358,0.0381804338005358,0.0381804338005358
"14",0.00791095973393026,0.00791095973393026,0.00791095973393026
"15",0.00120385999482821,0.00120385999482821,0.00120385999482821
"16",0.000134549251080339,0.000134549251080339,0.000134549251080339
"17",1.10444750897763e-05,1.10444750897763e-05,1.10444750897763e-05
"18",6.65836146985735e-07,6.65836146985735e-07,6.65836146985735e-07
"19",2.94814031866378e-08,2.94814031866378e-08,2.94814031866378e-08
"20",9.58710370390848e-10,9.58710370390848e-10,9.58710370390848e-10
"21",2.28973484564557e-11,2.28973484564557e-11,2.28973484564557e-11
"22",4.01644158343527e-13,4.01644158343527e-13,4.01644158343527e-13
"23",5.17435485932625e-15,5.17435485932625e-15,5.17435485932625e-15
"24",4.89586526458615e-17,4.89586526458615e-17,4.89586526458615e-17
"25",3.4022106409715e-19,3.4022106409715e-19,3.4022106409715e-19
"26",1.73640662026196e-21,1.73640662026196e-21,1.73640662026196e-21
"27",6.50878851546781e-24,6.50878851546781e-24,6.50878851546781e-24
"28",1.79187364338221e-26,1.79187364338221e-26,1.79187364338221e-26
"29",3.62303972252434e-29,3.62303972252434e-29,3.62303972252434e-29
"30",5.38018616002106e-32,5.38018616002106e-32,5.38018616002106e-32
