"","wm_m1_acus.cases","wm_m1_acus","wm_m1_acus"
"1",5.78641837615991,5.80995923625356,5.52741881508219
"2",5.67884199774387,5.89841050039385,5.55513190622411
"3",5.73250732463685,5.83490081677106,5.62361760759224
"4",5.73267955152873,5.8380851247312,5.63926371875692
"5",5.74581124572016,5.7529796743855,5.67179459454907
"6",5.75961606053407,5.75713787526255,5.69659644413457
"7",5.65755314319952,5.79145213788988,5.9487838832649
"8",5.62247930887525,5.93324295222181,5.77448676718487
"9",5.44749117562622,5.77533979008654,5.69368286894115
"10",5.31285866077741,5.74904353525784,5.60647247051916
"11",5.38475194237489,5.50293331967839,5.62100245121107
"12",5.56625602229498,5.48203161763553,5.80101260879374
"13",5.54908639362222,5.43226884915332,5.85914291971729
"14",5.60119899130473,5.46863748815169,5.77257671513918
"15",5.56679446998208,5.54917351110749,5.63177499126433
"16",5.72165089621228,5.61084714389809,5.63338142239229
"17",5.80591925629995,5.57002640983333,5.56817771021716
"18",5.76902132612425,5.44108071179077,5.42359965787923
"19",5.83491999113013,5.46444549609603,5.54101483485664
"20",5.92454800403954,5.48453291784609,5.65939876846252
"21",5.76277916951029,5.55241475142899,5.71527983264768
"22",5.79131185822757,5.75431040971915,5.67216668855564
"23",5.60014801574436,5.82396136878928,5.51557826676949
"24",5.50762957086195,5.77674235341836,5.40333584590335
"25",5.4544814376737,5.68742155397493,5.52952703792407
"26",5.35232073595058,5.70492641971807,5.76616401009415
"27",5.4459971226525,5.54804123692259,5.82675961536135
"28",5.47417963185892,5.57642312734976,5.6967744110127
"29",5.32806838120002,5.49780019784239,5.6629938909079
"30",5.43935882268889,5.6014452263501,5.59852537365976
"31",5.44006024388252,5.5732378982825,5.39232335399194
"32",5.62861357351145,5.59330374710649,5.48633362838972
"33",5.679350392947,5.47400867213423,5.6168284964101
"34",5.83425675467388,5.62349063956816,5.68049569204918
"35",5.77329868394244,5.60139481620805,5.73408824462228
"36",5.75985733112545,5.71272296377118,5.78539676969292
"37",5.56384948687252,5.53886436907988,5.81978504708287
"38",5.64780997326916,5.4158994312448,5.84234768104366
"39",5.74642503799102,5.40162744037895,5.7038154415318
"40",5.73728425432465,5.52807429601669,5.71638699218705
"41",5.72760622864043,5.5419548305545,5.76847920668854
"42",5.78062017653518,5.6293059941442,5.7519242065171
"43",5.71267629471342,5.65312440317191,5.84219194114944
"44",5.74935697352052,5.67432800052943,5.75731158206301
"45",5.81604239793551,5.74992722036544,5.46459440734996
"46",5.86637768070741,5.82947835707481,5.36285114316641
"47",5.83402397009824,5.8131092682868,5.28855000536868
"48",5.90938854647572,5.99644929061,5.30368818953368
"49",5.8702503036499,5.99723068322744,5.45537042647315
"50",5.73562951972357,5.9561800057267,5.54151475205437
"51",5.5994406234099,5.81075143188793,5.63946124602713
"52",5.71659845439231,5.63596895330953,5.69155400972842
"53",5.81146474538206,5.51802648383206,5.72305700025681
"54",5.78234208743567,5.55834313791607,5.77404915451171
"55",5.74382759085582,5.38670807183826,5.78204267423622
"56",5.68897933946947,5.46097716559108,5.72442704980322
"57",5.68362835453731,5.35978468670494,5.81228424727121
"58",5.53683004227492,5.40432871850816,5.87822872366841
"59",5.63377641270449,5.43941791566844,5.87541498291061
"60",5.51762015274081,5.56413637652175,5.82345872476499
"61",5.468229525486,5.57812185600555,5.63818192432005
"62",5.4077883596219,5.6165722955864,5.70120762489018
"63",5.41279010593389,5.64618570079542,5.66648574801868
"64",5.55877952771383,5.66354516921252,5.70194115693277
"65",5.52153060238918,5.68606097356604,5.55870298124584
"66",5.55178018734622,5.65012609709876,5.63470938877926
"67",5.46135895083785,5.74425776938256,5.66438780120879
"68",5.45517622600978,5.70050123603612,5.70757906615672
"69",5.54054865061253,5.70359278443008,5.73260211080569
"70",5.49137893048247,5.60201306003229,5.69353719212475
"71",5.57169882755973,5.44631758165548,5.79060215733942
"72",5.58750568695412,5.41412517503281,5.64578494118943
"73",5.52198818887013,5.48382761248293,5.7323370996518
"74",5.59469671989204,5.50721491299075,5.67937415422435
"75",5.65305972977823,5.55562259003575,5.61855530470423
"76",5.61782267282364,5.58867544506978,5.59279633030511
"77",5.66366027174761,5.56658343246784,5.5566484139523
"78",5.83652293940451,5.55914050561925,5.54924905209872
"79",5.90224970923799,5.63450560962603,5.49322596227115
"80",5.88000996733099,5.6586056074341,5.58316965795384
"81",5.76164807741976,5.88278488032795,5.43603353338615
"82",5.69137171042918,5.81373670573083,5.43434244484315
"83",5.6098202443189,5.84064318182891,5.56366968772784
"84",5.58684045540354,5.84718175020532,5.63454400348927
"85",5.70276497854111,5.79364574352484,5.80276070369769
"86",5.6044091439333,5.8334180090463,5.7119742413058
"87",5.49191757376931,5.71333816805645,5.76829907507038
"88",5.59982884749731,5.67772843995104,5.6677341512079
"89",5.64672587160298,5.59165967346254,5.62964732710247
"90",5.64708678215283,5.57521162333053,5.62535274936386
"91",5.69506662011764,5.41629238591237,5.51335824031813
"92",5.57924341264186,5.45724870016235,5.51799644815673
"93",5.54201180351189,5.398180734906,5.67038088778503
