"","wm_m1.cases","wm_m1","wm_m1"
"1",4.4244803255199,3.23217114616164,8.4612166712489
"2",4.41237770300925,3.24032721371817,8.4451405137925
"3",4.39646861921673,3.24197974131418,8.41661345114907
"4",4.37938024024894,3.24010902555502,8.36631073649591
"5",4.37532186425987,3.21879693414298,8.28888674844752
"6",4.39561404338419,3.19607492644964,8.2192080356492
"7",4.42580989813485,3.19145268933588,8.23457459713196
"8",4.43673276612155,3.22442416805489,8.3681000653213
"9",4.40404364137302,3.25201233984715,8.54153870456675
"10",4.33946310572943,3.25807317099454,8.63808047948437
"11",4.27908180780462,3.19919123922977,8.62756605102246
"12",4.25852029806117,3.13247912293262,8.54750162556508
"13",4.29665303571053,3.10043936188291,8.40404228193624
"14",4.39125630443329,3.1284600472854,8.22527269928933
"15",4.48826872458226,3.19296889745182,8.1399793582777
"16",4.5238191251613,3.25275211704151,8.23281855545866
"17",4.48701461277591,3.27370489747695,8.4318904662283
"18",4.44382202120472,3.23915450487003,8.57373836456392
"19",4.43951066931372,3.18951558910655,8.55039781488549
"20",4.44199189886553,3.15771505247695,8.41730370333254
"21",4.40738468934425,3.1660717374616,8.30193075046436
"22",4.36091681756007,3.20922968610152,8.25561814663791
"23",4.33379096730518,3.25117448345735,8.26123676267182
"24",4.33041884710137,3.2653687088017,8.32075167268269
"25",4.33644834045746,3.25026544945491,8.41521844247555
"26",4.3443524150696,3.22152865434726,8.45636793990751
"27",4.35258567370049,3.18258731565709,8.39183823722509
"28",4.35318006319663,3.16552692647902,8.30256135313598
"29",4.35469059503638,3.15016075764375,8.30954497733984
"30",4.37511229426262,3.15529524120411,8.43538093202814
"31",4.39292975798604,3.17406545323923,8.57974749430365
"32",4.39007409263369,3.21343765880586,8.58757695978139
"33",4.38148124982461,3.23385966388769,8.40311788791052
"34",4.41199190467149,3.24751407554265,8.17510971124353
"35",4.47119136535352,3.23816170409058,8.08368902497971
"36",4.50659390092064,3.23664283547214,8.16218302888927
"37",4.47077701979846,3.2118125006243,8.34953137467231
"38",4.38445469499998,3.16046822375252,8.55603552342665
"39",4.30619028053659,3.10511061866024,8.67516354435916
"40",4.29131716744798,3.10050524071594,8.65840950244816
"41",4.35245761721254,3.15496530563096,8.57306948175742
"42",4.44751124064271,3.24315767408148,8.49295294314278
"43",4.49925819742276,3.308355172036,8.39488140237975
"44",4.4780365974127,3.3162638272897,8.25383808821717
