"","S1.cases","S1","S1"
"1",0.021109656453671,0.107701145190032,0.000213768418818092
"2",0.0846579886225299,0.298234096181421,0.00179816666184758
"3",0.249352208777296,0.606530659712633,0.0111089965382423
"4",0.539407507237627,0.90595519110951,0.0504055333627537
"5",0.856996891435279,0.993846173326441,0.167973236757534
"6",1,0.800737402916808,0.411112290507187
"7",0.856996891435279,0.473826726395364,0.738991296280309
"8",0.539407507237627,0.205924246434199,0.975610980064846
"9",0.249352208777296,0.0657285286165305,0.945959468906765
"10",0.0846579886225299,0.0154084455711888,0.673638455344726
"11",0.0211096564536711,0.00265290830964493,0.352321954995497
"12",0.00386592013947281,0.000335462627902512,0.135335283236613
"13",0.000519975743255855,3.11547695190147e-05,0.0381804338005358
"14",5.13655311897597e-05,2.12502201623216e-06,0.00791095973393026
"15",3.7266531720787e-06,1.06453714110761e-07,0.00120385999482821
"16",1.9857504150121e-07,3.9166674251932e-09,0.000134549251080339
"17",7.77121350763365e-09,1.05835427138992e-10,1.10444750897763e-05
"18",2.23363143620318e-10,2.10040929273228e-12,6.65836146985735e-07
"19",4.71511922623689e-12,3.06150722319986e-14,2.94814031866378e-08
"20",7.31025181854509e-14,3.27736747236109e-16,9.58710370390848e-10
"21",8.32396967698123e-16,2.57675710915504e-18,2.28973484564557e-11
"22",6.96124845783903e-18,1.48792253051049e-20,4.01644158343527e-13
"23",4.2756512406559e-20,6.31023670322012e-23,5.17435485932625e-15
"24",1.92874984796393e-22,1.96548382416372e-25,4.89586526458615e-17
"25",6.39010552055027e-25,4.49626387246532e-28,3.4022106409715e-19
"26",1.55488633906502e-27,7.55427170086659e-31,1.73640662026196e-21
"27",2.77873901831707e-30,9.32163093339877e-34,6.50878851546781e-24
"28",3.64716460115995e-33,8.44791821322999e-37,1.79187364338221e-26
"29",3.51577814327522e-36,5.62297290043975e-40,3.62303972252434e-29
"30",2.48912125332755e-39,2.74878500791021e-43,5.38018616002106e-32
