"","YT2.cases","YT2","YT2"
"1",2835.91266420314,4800.13479206921,3359.35640727599
"2",2816.66851997146,4778.05877256767,3321.88189007752
"3",2794.00941008966,4753.14977136533,3282.84445326457
"4",2768.97229993002,4725.17109482786,3248.0189447152
"5",2743.24650775797,4693.21419909557,3222.11482743147
"6",2719.24989682895,4656.42839744873,3209.34749944133
"7",2700.09164699759,4614.98937887078,3217.85241302322
"8",2689.53587592287,4570.18877805571,3262.15256446112
"9",2690.89730059576,4522.75643343509,3348.80275132403
"10",2702.60525772166,4471.20892439294,3447.14556282394
"11",2713.23651583804,4415.35025036608,3487.93595520195
"12",2707.13982399298,4364.93439289629,3366.61062750601
"13",2682.07755502129,4338.99851268522,3192.49721049305
"14",2657.83597041191,4345.11503692099,3096.49964401114
"15",2662.50178360219,4360.39604257639,3046.70332702611
"16",2712.37459747944,4345.37350711134,3032.88045643177
"17",2801.58247335814,4285.52649113721,3095.930186184
"18",2899.47714509219,4220.57495747136,3272.01301159576
"19",2957.46240033133,4221.6403568186,3383.92954843804
"20",2938.6619531317,4324.41964216616,3327.58282179342
"21",2856.24233468058,4486.67473588272,3183.68924559799
"22",2766.63652854303,4618.66244788802,3071.66500433262
"23",2710.38838299282,4653.54246225773,3085.60551834778
"24",2678.08994535695,4592.13635145138,3170.90900425748
"25",2645.76847959414,4493.6455638071,3232.37043828591
"26",2618.31940377197,4431.91860884243,3276.83340683003
"27",2617.71463139673,4447.52645221357,3324.40957001115
"28",2647.22572405246,4519.61382478832,3316.9250390735
"29",2691.00149650008,4583.02562525706,3232.23624407937
"30",2736.17696927225,4584.64926050487,3208.582817727
"31",2777.06724274297,4521.9334078095,3290.19200395297
"32",2810.94769699882,4431.10097391525,3357.7017448379
"33",2841.28945428963,4358.01225398922,3339.55552933004
"34",2872.91100921298,4335.96635385862,3220.95980618161
"35",2899.40281886397,4369.00798478274,3071.81646063991
"36",2909.37886062235,4437.7821040147,3050.36820278607
"37",2908.39978117756,4522.90464668019,3204.47106053763
"38",2913.36577809005,4606.93254511029,3407.32132500003
"39",2918.64506277945,4661.97859945454,3518.46333695153
"40",2894.52310488349,4662.45294175393,3519.82957035464
"41",2829.19781107045,4612.81919036244,3420.27472124074
"42",2752.56268964771,4546.78218274877,3224.71338929411
"43",2712.11332959057,4493.53786999298,3083.92190448907
"44",2734.3881686833,4460.09354760862,3045.10677229392
"45",2804.95141036798,4458.30170772754,3017.4510777515
"46",2873.32576725986,4524.26434795494,3000.12527984274
"47",2885.88049716167,4675.56693148591,3052.30362295816
"48",2832.69487978814,4855.13732235411,3185.88631333658
"49",2757.03832811726,4953.56437902341,3324.27747064028
"50",2705.47844901594,4904.08751857218,3324.28850338776
"51",2680.80224276373,4740.77123406759,3205.26477121168
"52",2655.50472528154,4555.98679161366,3118.51400527867
"53",2615.11586953033,4420.33177258441,3148.34896547387
"54",2574.48159936452,4348.27123197726,3314.6623280041
"55",2558.45448851527,4314.88755899405,3518.48785263099
"56",2574.67076026035,4289.92959013235,3591.13189377323
"57",2607.81805762065,4262.87082428801,3505.30145390693
"58",2636.60287786232,4246.17624748189,3342.04376359467
"59",2645.10725401947,4261.60427928637,3206.8980530881
"60",2621.32626096313,4318.97790082447,3170.4051605239
"61",2566.08601907446,4401.44698386632,3171.25144846277
"62",2505.66617179635,4477.26819850325,3141.20373375538
"63",2475.60351772871,4528.95104424598,3100.76820930693
"64",2488.85304004228,4565.87707846643,3115.59561725766
"65",2532.40762681306,4607.29794473001,3191.54025945996
"66",2589.42512892636,4654.63607663085,3245.05117456114
"67",2649.7787462122,4684.90346788147,3206.1458984781
"68",2705.23236645685,4672.55433214133,3127.58476617038
"69",2748.4100078149,4615.11973660796,3087.0928287236
"70",2772.4032158941,4541.60516100822,3098.42594857694
"71",2766.12458517349,4494.43183844931,3130.25227932011
"72",2723.29790649865,4493.25431917437,3133.88927462713
"73",2665.24372030492,4518.50741281957,3153.53385066776
"74",2640.08115045544,4537.12689505096,3175.68945418751
"75",2680.60869280671,4535.69876509625,3171.70141958843
"76",2766.74943932298,4521.981150024,3118.95726839707
"77",2843.79712056645,4509.48162053989,3072.85637006051
"78",2874.95157644104,4514.08075407335,3050.87535984968
"79",2864.78426661321,4554.3400067214,3023.25815236909
"80",2837.50908669163,4637.24809662931,3011.8004483888
"81",2809.60058533535,4738.99283425034,3037.48293961684
"82",2782.39673198062,4809.25723409634,3113.88428690351
"83",2748.9256120487,4810.57026756673,3164.97944955338
"84",2708.47461829847,4753.47178139236,3202.89120956488
"85",2672.45369099593,4682.21997230131,3241.86129796695
"86",2649.61363763835,4633.78658247863,3252.99221412318
"87",2637.35892639436,4616.53812049483,3237.96197330634
"88",2635.4155190153,4610.39268907991,3218.99939811781
"89",2652.40543524628,4581.53993371188,3223.8484150146
"90",2690.61563692921,4514.03617812255,3245.97184372908
"91",2734.35174433131,4431.86631582461,3263.42646714436
"92",2759.13454136986,4378.17940255405,3193.06275270664
"93",2752.32657223653,4367.8092883942,3072.8754793549
"94",2726.56319238677,4373.47354633172,3033.17327073558
"95",2707.37217301021,4368.83316483103,3078.27761959229
"96",2702.28245500816,4367.41620716935,3176.23900734918
"97",2695.23702192235,4402.84647359409,3260.05698491585
"98",2678.2645216945,4483.76329393672,3315.09650530177
"99",2669.20677605632,4584.35455025961,3332.49266797626
"100",2687.70321146226,4671.77273312965,3315.14755902201
"101",2724.7079122348,4726.72450441591,3287.92600656795
"102",2744.23420320247,4742.48868280748,3235.01170912602
"103",2720.83071886262,4720.8023730846,3212.98732637108
"104",2672.01582470645,4669.34582497551,3300.91807332521
"105",2638.56338841547,4604.32026182907,3403.65746842527
"106",2639.91331541371,4564.01406740662,3387.36814301944
"107",2666.80433609686,4596.57143072131,3280.77920251433
"108",2702.72833712059,4703.78345224783,3187.04093097741
"109",2733.88806089975,4818.44272840496,3152.88756337195
"110",2749.90392102096,4869.28342589409,3153.64872555553
"111",2747.34477450363,4850.44219576088,3165.95098749047
