"","YT1.cases","YT1","YT1"
"1",3500.24501509237,4635.01089466943,6672.96237757386
"2",3474.31842085781,4583.38849737858,6605.61045013001
"3",3458.12870427653,4530.64916273601,6553.67785311684
"4",3456.89598243022,4471.95444859797,6528.29054752464
"5",3470.38959215528,4426.06445305703,6549.43459604304
"6",3486.06987551665,4408.309614028,6641.78155576233
"7",3483.36635867348,4421.55094301235,6796.97101152684
"8",3453.78233734338,4428.71111137575,6932.72543328901
"9",3419.12532965128,4404.08100756531,6937.68311860319
"10",3416.00088764908,4331.66437795149,6786.01626017939
"11",3469.16852575928,4277.43326362596,6560.31253396648
"12",3576.59110193899,4300.40394309844,6354.90909525837
"13",3705.7953129933,4427.29462635773,6224.69674999999
"14",3795.44987062265,4595.23871794234,6219.58715928536
"15",3790.8470485842,4711.1526517979,6364.75918482289
"16",3694.13869536149,4720.65420509691,6580.59131273085
"17",3574.21341696704,4641.09661868105,6707.75517555516
"18",3493.64450624598,4545.76479272251,6654.70949265394
"19",3449.61554281477,4497.80098128209,6487.51414789184
"20",3408.26452583988,4531.12687276543,6353.202618892
"21",3369.43364231822,4611.62573914736,6335.34660162936
"22",3360.62981770858,4664.51950032558,6411.83312457984
"23",3393.00572781052,4648.3002277542,6526.84492990623
"24",3447.43157559335,4574.54799703665,6635.76478838026
"25",3505.79019206749,4482.40062446319,6688.48348201572
"26",3560.37572839918,4413.55237930415,6657.9278340764
"27",3605.3030062176,4406.51783523884,6597.88948603893
"28",3644.01740817611,4447.91616340454,6599.33515260008
"29",3684.97770862071,4526.97639402792,6677.15593477653
"30",3721.77377462264,4614.21734779288,6741.04977333321
"31",3739.17833540451,4697.84447564067,6685.37046895522
"32",3738.0795902526,4740.2832983736,6508.21756888223
"33",3742.71009900542,4732.78627825884,6342.5233524418
"34",3752.38292103844,4671.51170044948,6343.12085133909
"35",3731.17482104894,4606.08726037431,6538.83774748433
"36",3654.70508241237,4550.23818445015,6815.44230456401
"37",3553.84845810341,4521.85691384192,7016.93736190083
"38",3488.89527494822,4533.36272265585,7036.97259725923
"39",3502.28913429742,4623.61652573875,6868.40512260544
"40",3586.08907047793,4792.26512895094,6608.58373761855
"41",3681.68918018092,4969.1848858437,6377.68172775191
"42",3714.57967306909,5038.21140070805,6223.15685621293
"43",3658.50003321856,4954.61960571014,6137.15124732867
"44",3560.34443718471,4775.69839015827,6135.8465244157
"45",3486.08416546484,4593.89890340822,6253.94084638444
"46",3450.64906510646,4469.64745669063,6456.07168235765
"47",3421.08810049678,4409.85487239431,6615.0487079909
"48",3371.83958180301,4377.14805285226,6623.71197671763
"49",3316.50193012377,4350.69021530516,6510.97491966518
"50",3288.27609113921,4323.64841051903,6424.67699540515
"51",3302.81138236685,4311.45505107301,6502.29924916061
