"","YT.cases","YT","YT"
"1",8826.14630546729,14579.8961669035,13765.0755025165
"2",8759.17902749144,14448.8078289511,13628.3084007365
"3",8699.71822659237,14331.972923295,13517.6775447195
"4",8656.60537809664,14196.2447815516,13457.0247263354
"5",8633.71032783752,14085.5386754553,13476.4249022846
"6",8622.17828271563,13990.3001758986,13603.9698679249
"7",8603.37412817852,13918.8024346263,13825.4987369822
"8",8568.02633112924,13817.8318883155,14048.3470931295
"9",8535.78900088839,13725.3261959119,14135.171446146
"10",8537.36512389647,13574.784965335,14001.4699779896
"11",8587.6272823276,13501.2874989486,13701.9054905565
"12",8689.07120031249,13491.4747449514,13284.3244365338
"13",8821.94592590108,13614.8806430967,12939.1015475245
"14",8944.31145092306,13787.0537728213,12849.5669906053
"15",9013.50989409776,13911.2576701745,13002.1562293825
"16",9018.62085345797,13927.8613077848,13291.5662662782
"17",9001.56117721591,13863.8618371271,13533.0514756605
"18",8982.05211943757,13801.2725063864,13635.9791532402
"19",8922.44271101095,13801.9478354262,13510.5768608581
"20",8792.64579899859,13933.1710591786,13258.5701922639
"21",8633.07662566366,14139.5804817934,13092.9582282282
"22",8513.76336065356,14264.2026453369,13102.0783346077
"23",8472.69155233561,14247.5941286458,13285.3199288561
"24",8483.13671818384,14123.3645844679,13521.1179324746
"25",8522.26608281579,13959.9758133199,13659.9674387638
"26",8585.18857870051,13832.038179292,13673.3853431982
"27",8668.03226892014,13834.9635893167,13639.007160997
"28",8771.99627054118,13909.5606052729,13627.8078979044
"29",8892.38809318619,14046.2061016629,13641.7371531059
"30",9002.11764417928,14115.9307506183,13693.9436614847
"31",9085.04165083799,14161.448800888,13694.2365478701
"32",9138.44667859861,14149.0102965084,13521.9085118868
"33",9190.9701032332,14136.0165521472,13281.4933703412
"34",9240.69414693186,14063.6236036453,13174.4417731625
"35",9239.54129076827,14060.4381377083,13314.959819254
"36",9165.36437761115,14062.2064548994,13692.1898519597
"37",9053.08098142399,14134.528897877,14121.8294874407
"38",8959.37558665881,14227.2242488554,14337.8855739491
"39",8927.78207751808,14374.1112893194,14196.8701586429
"40",8944.54833834662,14544.252757456,13805.0208780632
"41",8970.39999612567,14703.4538582584,13356.397069998
"42",8958.441042794,14720.4627449235,12938.1931598323
"43",8909.15086026679,14615.6762423378,12688.3432600323
"44",8862.14842749261,14454.5861578141,12664.3002656057
"45",8847.17433481132,14309.1334537834,12809.6044087682
"46",8826.9418637812,14225.3480969906,13075.4639118787
"47",8749.78241568688,14222.6690803725,13356.6172480306
"48",8609.47587430815,14216.1547396456,13511.8088406813
"49",8457.44245512703,14175.700168805,13506.0612078922
"50",8353.27274224278,14032.5903742317,13403.4863131229
"51",8314.75610968109,13831.2276356205,13405.4314211475
"52",8308.96023721077,13675.2489346636,13666.6792346466
"53",8307.14046101145,13618.0816719816,14070.9108660176
"54",8303.66934996132,13626.870715481,14393.8129264281
"55",8288.88011362025,13719.9084003235,14456.9544433461
"56",8247.46277885153,13768.5855949538,14210.2920251024
"57",8188.19981670688,13862.7974832271,13819.1835985633
"58",8139.80323570634,13953.1482705204,13468.8455581007
"59",8113.91732890942,14069.604243556,13228.6879724109
"60",8105.59810392527,14163.6678428144,13112.0841798232
"61",8117.19476596916,14237.3579339645,13075.2109245912
"62",8163.87014213712,14259.2025211118,13097.7214541476
"63",8253.55021443745,14250.8043473492,13169.746999582
"64",8375.4081477113,14240.5606720255,13246.5851028955
"65",8503.01135509503,14266.0333010292,13266.1246811856
"66",8600.45162029182,14310.6424340237,13198.2586553947
"67",8633.68442188234,14302.4546160935,13071.5115889296
"68",8615.17678585183,14272.927564537,12979.3647141996
"69",8594.57548070967,14195.8769652462,12973.228029443
"70",8625.6242032951,14141.9782788003,13030.4411159025
"71",8700.05344868208,14141.294221316,13112.0025359101
"72",8768.47086464895,14212.9194057526,13138.3363328219
"73",8810.97257905898,14338.2110245608,13122.568217704
"74",8845.31815229512,14487.6570163507,13049.7880378372
"75",8898.62901128598,14564.2244747844,12936.8235980573
"76",8955.83753346268,14564.9613147705,12789.5163150636
"77",8979.17680809673,14529.7346168239,12680.5560594976
"78",8944.21728708211,14510.7817046961,12658.4911344121
"79",8854.60210976816,14515.9978563305,12713.5217527767
"80",8750.82655895458,14562.0932710901,12848.5452445678
"81",8662.84799454353,14564.2842805227,13027.0255691036
"82",8584.90234514275,14554.7822922476,13236.3148929035
"83",8519.56796292032,14440.0347697661,13379.8211783504
"84",8485.09049980035,14265.66283322,13454.4250656811
