"","SBT.cases","SBT","SBT"
"181",9278659.36882795,13697614.8223748,14037693.7621589
"182",9129212.29973298,13802042.3490672,13959277.0184835
"183",9301131.1916997,13668720.9944762,14074780.1838064
"184",9442709.46018569,13593911.9206048,14028273.7942961
"185",9523603.90032009,13526199.3086819,13864014.7072301
"186",9383540.70108712,13767503.9904397,13790796.4699416
"187",9436383.53531881,13771266.0919092,13807022.3366886
"188",9500889.20727452,13776694.6192947,13705409.1717325
"189",9498642.56137272,13717208.3997328,13732986.6827704
"190",9476327.73563823,13646984.1885472,13505319.6819599
"191",9551964.09482292,13608101.7192233,13341815.4442075
"192",9673232.03588108,13846992.9376402,13473489.9777623
"193",9656748.8343881,14087829.4833544,13612288.0875372
"194",9519161.10041121,14196244.5878185,13869433.1455717
"195",9667957.87985632,14201051.0004451,13920434.5529516
"196",9586522.58636943,14110136.6674761,13884992.1691364
"197",9770091.84124367,14285594.6455928,13927647.1131084
"198",9714455.16843658,14083486.172917,13956057.5059062
"199",9594726.09841602,14243601.0515236,14067194.4706757
"200",9674616.08340289,14382199.5308306,14179223.7070038
"201",9792920.92069085,14498071.0960544,14220831.6349706
"202",10016598.3309159,14565184.4530397,14116719.4340755
"203",10132666.4651399,14782140.3083422,14051206.1351798
"204",9856016.5457123,14972930.4341427,14171206.3454991
"205",9825353.01116121,14943076.9236646,14123923.3762246
"206",9787072.79329212,15027550.9848052,13929243.6769145
"207",9654489.0841263,14847621.3000512,13693239.0415045
"208",9703063.22337995,14809270.6226256,13524178.9242585
"209",9533788.77008591,14836380.2499037,13596120.3127624
"210",9394827.13632548,14439825.4057665,13310863.6852856
"211",9445998.37116937,14450911.5974569,13458845.8640511
"212",9476125.17917686,14415057.3488389,13733464.8132116
"213",9535577.22679091,14295826.7904024,13696316.0530767
"214",9842685.21709959,14217461.7508282,13548147.2022389
"215",9892376.10879258,14256298.5433305,13690267.6566215
"216",9772195.6266785,14218419.3708966,13805590.4587849
"217",9763619.13565137,14450956.243123,13521564.1883346
"218",9515084.10848086,14667570.3138361,13180810.1378166
"219",9447695.73544832,14552585.0147323,13123573.742497
"220",9457081.98362734,14359030.4310724,13219817.2648271
"221",9556298.11570672,14466959.1833272,13365648.3917142
"222",9608341.82632491,14434115.4706799,13386907.8272559
"223",9586614.87335717,14335769.2778625,13342962.6804386
"224",9580394.9776697,14004950.6054653,13470410.5816334
"225",9501252.58573481,13965787.0820235,13549684.2702104
"226",9477270.37953105,14183561.5618162,13641036.8287617
"227",9506674.09953017,14176552.9020174,13551126.1766014
"228",9518324.88751146,14062251.6641968,13790123.1726961
"229",9639409.5636266,13711100.0532897,13637315.8635204
"230",9547947.70838777,13778598.8678933,14087785.8971476
"231",9610260.04991835,13887554.9537236,14143911.4471336
"232",9654584.64709689,13941561.9978349,13934087.6249155
"233",9271962.20141044,13898410.4920162,13834105.0025551
"234",9257084.13944822,13521987.6847628,13861041.7460253
"235",9291005.32190992,13502577.4000142,13801591.3500927
"236",9444895.05821011,13278926.3254502,13718191.1915275
"237",9270065.20501219,13181196.6958603,13527864.1995701
"238",9184320.7916548,13337348.6739978,13427698.5469939
