"","S2.cases","S2","S2"
"1",3.65870037895442e-07,7.7712135076336e-09,3.65870037895442e-07
"2",6.45524690663266e-06,1.98575041501209e-07,6.45524690663266e-06
"3",8.36483472297274e-05,3.72665317207867e-06,8.36483472297274e-05
"4",0.00079608669149573,5.13655311897593e-05,0.00079608669149573
"5",0.00556444502779387,0.000519975743255854,0.00556444502779387
"6",0.0285655007845503,0.00386592013947281,0.0285655007845503
"7",0.107701145190032,0.0211096564536711,0.107701145190032
"8",0.298234096181421,0.0846579886225299,0.298234096181421
"9",0.606530659712633,0.249352208777296,0.606530659712633
"10",0.90595519110951,0.539407507237627,0.90595519110951
"11",0.993846173326441,0.856996891435279,0.986207116743916
"12",0.800737402916808,1,0.606530659712634
"13",0.473826726395364,0.856996891435279,0.186270463697701
"14",0.205924246434199,0.539407507237627,0.0285655007845505
"15",0.0657285286165307,0.249352208777297,0.00218749111818291
"16",0.0154084455711888,0.08465798862253,8.36483472297281e-05
"17",0.00265290830964494,0.0211096564536711,1.59725788283433e-06
"18",0.000335462627902514,0.00386592013947282,1.52299797447129e-08
"19",3.11547695190147e-05,0.000519975743255855,7.2515395693254e-11
"20",2.12502201623216e-06,5.13655311897597e-05,1.72412093903554e-13
"21",1.06453714110761e-07,3.7266531720787e-06,2.04697171316426e-16
"22",3.9166674251932e-09,1.9857504150121e-07,1.21356366812582e-19
"23",1.05835427138992e-10,7.77121350763365e-09,3.59269128537114e-23
"24",2.10040929273228e-12,2.23363143620318e-10,5.31109224967936e-27
"25",3.06150722319978e-14,4.71511922623683e-12,3.92061682181079e-31
"26",3.27736747236109e-16,7.31025181854509e-14,1.44521201295417e-35
"27",2.57675710915496e-18,8.32396967698117e-16,2.66020641594399e-40
"28",1.48792253051044e-20,6.96124845783893e-18,2.44515120245552e-45
"29",6.31023670322012e-23,4.2756512406559e-20,1.12228384996484e-50
"30",1.96548382416365e-25,1.92874984796392e-22,2.57220937264241e-56
