"","BT.cases","BT","BT"
"59",10514423.7904005,15478163.6292922,15825462.5456323
"60",10482419.0687541,15585279.7013827,15624782.5325584
"61",10316404.0513382,15563860.015833,15168311.8662116
"62",10481419.5773443,15716678.9002631,15317471.0435456
"63",10446798.8414161,15506235.6783446,15419115.1647722
"64",10553881.0695091,15809007.0261387,15402903.6602576
"65",10488584.6338777,15812446.3761711,15481265.5040398
"66",10417433.1634345,15986957.3183078,15601032.1900515
"67",10095165.5667247,15613249.5477784,15828760.7531667
"68",10075202.5270157,15276528.2512987,16047743.502334
"69",10149618.2796997,15040421.9280311,15780456.947744
"70",10161742.6906771,15092213.2657666,15635412.2665863
"71",10049532.643882,15054122.1312435,15647039.5241464
"72",10050194.6646704,15159821.7968779,15699369.2975636
"73",10013974.377483,15220132.2072427,15984031.8659099
"74",10068685.950321,15196586.3076871,16115030.9461959
"75",10176199.1441724,15276416.1044861,15860726.5444536
"76",10196386.8818735,15388786.6139508,15616403.3447858
"77",10138887.9071348,15416975.3041733,15310613.9224079
"78",10180871.7006018,15685556.269795,15175953.8836283
"79",10163067.7181818,15727805.037762,15310055.4400882
"80",10083988.8208686,15738997.7694093,15275539.5107684
"81",10056602.9398846,15748638.855444,15235101.4073188
"82",10238107.7220188,15748949.208271,15157158.0753462
"83",10376077.6095724,15734648.1770165,15233363.5889461
"84",10424816.1001044,15898547.8124305,15370208.3475773
"85",10503142.1627727,15632823.638318,15364000.1726387
"86",10554882.3193495,15734539.9363011,15164823.2267193
"87",10664635.4133306,15509945.9407324,15100611.9964946
"88",10526183.4931741,15556415.4999463,15114625.1742286
"89",10646452.8393883,15555860.8256503,15201387.7442773
"90",10549093.2957844,15733347.0662715,15280789.7725225
"91",10527372.4917819,15737346.3961672,15130928.8763798
"92",10454410.0472574,15693067.2474048,15314100.9841071
"93",10478949.7233807,15714275.5310752,15213761.8724007
"94",10731486.1223354,15748946.8301369,15295144.9889872
"95",10753697.0494821,15790254.1634633,15075050.6992491
"96",10760257.8425271,15736587.9761035,15229315.6109562
"97",10581385.2759631,15928147.8803859,15236577.3057502
"98",10506204.2150962,15886547.0899936,15242933.4197801
"99",10544019.6045911,16034693.9349767,15315606.33533
"100",10396793.1944143,15911823.0909632,15374866.6685466
"101",10420808.7410555,15703660.211724,15664357.908304
"102",10428461.775038,15579497.6327323,15496718.442305
"103",10262999.5744482,15634149.060258,15676965.8859556
"104",10326387.5873278,15536687.0011308,15644808.5495897
"105",10395332.2560647,15553913.9842369,15647568.5061598
"106",10357691.9188498,15591815.7504824,15604609.4285295
"107",10352382.8254565,15514063.8375946,15567716.0914537
"108",10427831.6668672,15401640.119335,15598730.7537505
"109",10488572.7541527,15460432.1125633,15582131.1311628
"110",10501330.8825566,15448587.621616,15741429.059014
"111",10456304.1107537,15776972.0392794,15463849.6498807
"112",10418501.6135425,15689129.246263,15399408.3529628
"113",10317212.8509388,15712153.9808137,15582211.7016383
"114",10324176.5931752,15848116.8007827,15650295.7129633
"115",10478741.8834065,15955557.8623793,15894872.7035863
"116",10384119.7068873,16200939.7278524,15836434.8391548
"117",10276126.9881469,16130566.1649008,15968935.2404006
"118",10358807.7160335,16212743.6707215,15842996.1708724
"119",10375569.9413968,16168874.8932806,15815089.3325391
"120",10388108.7992291,16234867.4618337,15888641.604125
"121",10465021.1885632,16033110.4229162,15685589.9555597
"122",10268356.6023209,16201422.0207154,15662624.3806976
"123",10146295.8117898,16129238.1712914,15944252.8362229
"124",10366043.7876648,16101146.9437821,15958795.0404728
"125",10366329.4800542,16327693.3382629,15729287.5677201
"126",10341153.7570371,16547610.0009904,15568718.0984492
"127",10423366.78022,16504782.6570577,15504966.4821302
"128",10385526.5067357,16288901.2208978,15571153.0329594
"129",10359783.4736009,16163007.9866484,15581182.3474042
"130",10305612.8462209,16299551.6067151,15608706.4429306
"131",10266265.6031859,16135138.3040582,15723868.2651384
"132",10276630.3223975,16250701.9465918,15692194.4482589
"133",10206263.1711129,16070591.2107456,15685230.8727186
"134",10190889.495879,16179312.3246997,15855077.6182874
"135",10227248.1610752,16279467.5264779,15671943.9096015
"136",10382396.7966831,16218481.9759791,15617071.0434819
"137",10328108.8332452,15912902.0961178,15738108.2650911
"138",10430933.724075,16030891.8657269,15539347.5119287
"139",10253814.3751749,16003591.4778667,15612028.3204575
"140",10304893.1748378,15823249.5283389,15743064.6185092
"141",10390330.1112037,15927350.253104,15632426.1722696
"142",10416518.183541,15780933.3597461,15627487.8608576
"143",10401497.6122429,16040317.453457,15641941.5438367
"144",10279325.6579446,15885669.7073519,15673472.1966998
"145",10111551.4822133,15871395.7924343,15893614.4447101
"146",10177343.5840886,16041252.123752,15808461.2559172
"147",10301080.2187831,16166732.0175226,15573063.3136427
"148",10518455.9876281,16229787.7409557,15625433.1126733
"149",10715409.4501312,15961026.323918,15657363.3280214
"150",10744729.4803459,15725107.5756737,15216641.9540443
"151",10599722.9894332,15813010.1034559,15396496.6034988
"152",10759067.2606229,15724328.9290102,15358716.5859296
"153",10522276.4592462,15512648.4407331,15217696.8938038
"154",10406513.6867613,15372988.3305742,15415257.7034451
"155",10511402.5949054,15377859.3266917,15376628.6272414
"156",10416105.4982017,15313184.2935887,15236423.8700456
"157",10475509.1997893,15171403.3597376,15702263.873598
"158",10462163.6389314,15226613.0474372,15826771.8880342
"159",10419089.6521006,15320812.8454554,15903634.8491945
"160",10400404.5031218,15436473.6742591,15867284.1677665
"161",10401169.8142802,15205750.6804987,15858936.182655
"162",10217426.3456275,15523899.3837676,15718297.3828741
"163",10341737.0181994,15702825.6748766,15533672.337998
"164",10444685.1175042,15710640.4700429,15559791.4384336
"165",10479863.8986659,15843480.8128976,15726417.9514518
"166",10403247.9243091,15733448.9226873,15650173.4971309
"167",10490547.2336107,15864296.1466486,15712511.1967569
"168",10593713.4240661,15850911.6206316,15456171.0489
"169",10611573.0984468,15817438.8131204,15590983.9112914
"170",10560109.545925,15569687.2869327,15584287.2953475
"171",10535611.9617471,15796205.6427486,15760908.7335938
"172",10270564.0970348,15818286.65263,15893457.3530245
"173",10275549.3906374,15753143.8678195,15968089.0317815
"174",10328593.2936548,15514767.856031,15768890.4586755
"175",10244082.9007526,15314101.4987432,15929479.484952
"176",10288819.5864262,15194079.0287061,15875297.844013
"177",10337001.7975815,15200431.3768912,16003804.9130571
"178",10469941.1382244,15106160.2045129,16025138.0109806
"179",10281838.5909979,15206964.3931781,15912085.4530711
"180",10244331.5173097,15226259.0626081,15486701.1979673
"181",10358475.7826706,15278220.879609,15613241.5429487
"182",10229086.9406246,15399068.995302,15517467.2274464
"183",10413024.3123621,15292086.6323556,15629627.4909378
"184",10528947.3025128,15242889.6107489,15593352.4308917
"185",10591163.8112581,15182600.0183075,15420279.8297809
"186",10447494.2878602,15428667.4826789,15324377.2527556
