"","CPUE1.cases","CPUE1","CPUE1"
"1",40.259739618898,55.6766562957,55.769010601394
"2",40.2515486584909,55.601557218556,55.738318736289
"3",40.2099405776892,55.5557751586775,55.6884085446379
"4",40.1724875232888,55.4874625105355,55.6455548292018
"5",40.127208939652,55.4358501870013,55.5917508955811
"6",40.075556035527,55.3556019264531,55.5332384664451
"7",40.0427079336561,55.2558609863913,55.400931650071
"8",39.9963689993715,55.1117258389484,55.3646010990619
"9",39.981063257229,55.0260135394728,55.3095932240905
"10",39.9674805338219,54.9020830110402,55.2584851187087
"11",39.9092741838137,54.8329986491967,55.1779472107254
"12",39.8170405971923,54.7041308755019,55.0394682850663
"13",39.7560526560231,54.5727900870728,54.9160189003643
"14",39.6737896117982,54.4035909237638,54.8049557441899
"15",39.5970116608123,54.20679753647,54.6712945019343
"16",39.46551741552,53.9991785572473,54.5089169604926
"17",39.3418796843206,53.7931898816545,54.3615256934897
"18",39.2335033676642,53.6087586000255,54.2289433949799
"19",39.1042136372264,53.377361294464,54.0147155722515
"20",38.9675266778926,53.1550036929804,53.8070328528714
"21",38.8804413330063,52.9345413137698,53.6513728441707
"22",38.7706897745759,52.6816689834166,53.5310500407808
"23",38.7083690977056,52.4391864318739,53.495782388452
"24",38.6543946415361,52.2265394558241,53.5128846122734
"25",38.6478873847693,52.0244032127981,53.5221245143619
"26",38.7064139476389,51.8330130148315,53.543568757105
"27",38.7445425702324,51.7321169430043,53.615621027437
"28",38.815606739856,51.6338468162057,53.7446332487286
"29",38.9475057090638,51.603236627438,53.8731380819482
"30",39.0581661326025,51.5349576400615,54.0318405549139
"31",39.1507444488595,51.5603915464572,52.5875547099794
"32",38.8277915354157,52.015772300057,52.4660694673113
"33",39.1189507802678,51.885564027505,52.6541023647513
"34",39.2582339306826,52.0000133230782,52.6515382668836
"35",39.5176650232433,51.7360246418303,52.7602220500416
"36",39.8348287408027,51.8590020062801,52.8491136587571
"37",39.7737479473626,52.2874136515473,54.1972116453982
"38",39.8413030279733,53.3834893428017,53.6076726825926
"39",39.2314739785481,53.2100557361051,53.2985938989071
"40",38.5058150911337,53.5206182216638,52.75305575048
"41",38.5301857102495,52.6255574963138,52.5899649106325
"42",39.0552743164891,52.5879726872927,53.3622547408395
"43",38.8676665010137,52.3431354816876,53.6428216692157
"44",38.9128050168989,52.5247636021409,53.5167075750747
"45",38.6843357535637,52.8867735754307,53.6373168279329
"46",39.3207665621575,53.1246950521115,54.0250999219786
"47",39.6474891054251,53.0624955146444,53.841510070941
"48",39.5245468324132,52.368838319815,53.0468405773157
"49",39.7190781596698,52.4867073246431,53.5105629787749
"50",40.0927867404644,52.4300347407036,53.9008830507885
"51",39.701347717616,52.3439992984306,53.7492116751893
"52",39.970152090921,52.8771815146687,53.7330388148529
"53",39.7465379000508,53.2734606243721,53.1492076539355
"54",39.874033849846,53.2228542232585,52.6324279662147
"55",39.7337880836897,53.3502021566749,53.1428220944503
"56",39.0589421723264,53.7719145682366,54.0499042282364
"57",39.33686988478,53.2968796328417,54.3813114777116
"58",39.4683857982183,53.3995825904475,53.9224233790429
"59",38.7210997279286,52.7557268092145,53.7022589754463
"60",38.6267552905312,53.0476052117012,53.1566994749964
"61",38.1363559609847,52.9891380062333,51.9101668578466
"62",38.6237165307266,53.4051338911792,52.3182915790155
"63",38.5214393602951,52.8320332934105,52.5958690069167
"64",38.836942039378,53.6561184461415,52.5514938582985
"65",38.6443167190795,53.6654245984048,52.765337963828
"66",38.434210281721,54.1388800041679,53.0918964040719
"67",37.4795775899558,53.1235894185097,53.7114428072547
"68",37.420276061835,52.2046450220701,54.3054722405323
"69",37.6413556485938,51.5579538464776,53.5803596632705
"70",37.6772909470246,51.7000850135493,53.185758560078
"71",37.3438163851628,51.5956194498518,53.2172938041389
"72",37.3456774496003,51.8852716587988,53.3596547652405
"73",37.2378485261122,52.0502387331031,54.1326439679616
"74",37.400541287268,51.9855615722765,54.4875331277803
