"","wm_m2.cases","wm_m2","wm_m2"
"1",15.7729327030102,20.5202807450759,14.3589851403888
"2",15.78829932092,20.527033164327,14.3629781807839
"3",15.7990136013089,20.5359906206261,14.3514326068371
"4",15.8019779216985,20.5493590934212,14.3270527339006
"5",15.7934007041685,20.5659626097854,14.2903097613898
"6",15.7695974922914,20.5810101968812,14.2281541370091
"7",15.7272366047011,20.5898357046743,14.1220536675725
"8",15.6685756161327,20.5955722437205,14.0057330751353
"9",15.6181693418138,20.6096734889407,14.0053286463478
"10",15.6259758856914,20.6288619741657,14.2236322781487
"11",15.7151379202521,20.6090983589423,14.5693804249987
"12",15.8197492064628,20.5048856463851,14.7040823733597
"13",15.8222367355301,20.3660644940726,14.5447209480781
"14",15.6694479716028,20.3392270206878,14.4031048076127
"15",15.4155221455933,20.5399209018811,14.2723779524056
"16",15.2349531044575,20.7645253839128,14.0068955292536
"17",15.2332679843368,20.7225126208567,13.8035046067035
"18",15.4398421742004,20.3745756843615,13.9990658468973
"19",15.8157139856821,19.8962644246021,14.4300650462308
"20",16.1226829197056,19.7688343093537,14.6560737741689
"21",16.1569800198549,20.1040000949526,14.5282082491132
"22",15.9492157037499,20.5652240109997,14.2079543870584
"23",15.7644477448808,20.8462736607826,14.0330707209125
"24",15.7833041865362,20.8687278691987,14.075576304857
"25",15.8353462917385,20.5539949971642,14.1186155947109
"26",15.7009337669543,20.25450604776,14.1578695351902
"27",15.5133502436652,20.0779326989894,14.3180795065475
"28",15.4335266562116,20.2426931589296,14.4494631008783
"29",15.4660805048709,20.5800040429315,14.2929977991598
"30",15.5274311845645,20.8188000370862,14.046205722122
"31",15.5410551823974,20.7907340655478,14.0825065974506
"32",15.5508860305506,20.6209756003712,14.3434371443283
"33",15.5661300188995,20.4508187394259,14.6092582811404
"34",15.5692672469812,20.2192116584055,14.6372388892779
"35",15.643333342754,20.1459546208995,14.2631781849579
"36",15.7077009976306,20.2117063800283,13.8132319313411
"37",15.6770431592372,20.2241956846983,13.7349040904671
